session,rate
0,1.636872416
1,24.86038781
2,12.36945641
3,29.88061992
4,14.86730108
5,24.40713865
6,2.878513896
7,36.41061673
8,6.123572589
9,0.356927884
10,2.878693135
11,8.464918948
12,16.67348976
13,7.625485566
14,11.41958222
15,5.700242214
16,8.080294464
17,22.68901249
18,17.88531854
19,17.11027698
20,17.66395332
21,9.24871993
22,0.923640579
23,3.181233545
24,8.079275739
25,3.338438497
26,22.94364482
27,7.232174091
28,5.668296571
29,6.553244706
30,3.287572227
31,4.463663889
32,12.97214393
33,16.42894265
34,25.51679699
35,18.35196492
36,21.24979846
37,22.07987025
38,10.05945566
39,14.95682301
40,33.02626661
41,4.422858249
42,19.94929027
43,23.04313015
44,8.006842179
45,23.02041871
46,40.86409463
47,27.02351065
48,13.27181481
49,14.40196561
50,8.673986317
51,16.47662754
52,24.87627985
53,15.44108874
54,11.23528219
55,10.41689314
56,3.068711963
57,9.016509559
58,17.46179763
59,2.630310128
60,34.31010744
61,30.43752704
62,14.81553408
63,12.15853709
64,18.05006316
65,14.31460034
66,13.44092255
67,9.139353256
68,38.75446134
69,21.97003548
70,20.48783158
71,8.473829925
72,20.12544731
73,6.959520074
74,15.4154662
75,9.581645854
76,40.39627821
77,18.21329437
78,19.42366579
79,2.027925091
80,29.40958642
81,18.6164431
82,4.790512366
83,14.93488452
84,9.668631076
85,25.73270863
86,8.209948682
87,57.32448449
88,7.756512036
89,26.43511694
90,12.0363684
91,20.00221314
92,13.2599286
93,2.568940822
94,21.88648277
95,5.884853429
96,1.136218055
97,23.10138928
98,23.04011161
99,11.8245897
100,7.601332796
101,7.982911958
102,19.89579327
103,26.78005875
104,16.00819436
105,27.86702891
106,36.27461687
107,29.45200271
108,5.984847369
109,0.534768183
110,19.89534233
111,12.14450327
112,0.167529112
113,6.896085711
114,29.13805645
115,20.2458717
116,9.679613129
117,11.49422308
118,0.443856892
119,17.44403283
120,53.93377012
121,39.03687668
122,28.06417188
123,2.205361179
124,13.25027962
125,23.54625419
126,5.023075346
127,14.25206589
128,39.81831484
129,12.38315287
130,23.86155915
131,22.76865046
132,4.429666864
133,38.57414916
134,33.99614869
135,16.03706988
136,16.84759294
137,1.107759191
138,18.34572546
139,18.95423611
140,9.722406058
141,2.56994716
142,34.11558698
143,4.14654425
144,37.31166794
145,24.06158934
146,1.949280132
147,6.732929302
148,7.328534142
149,17.83571904
150,3.993176145
151,6.261738212
152,28.01231343
153,36.88964786
154,20.12627607
155,29.23353722
156,7.299604995
157,41.12851329
158,16.99596206
159,19.24177963
